Date, PE , PB , VNINDEX 
1/3/2012,7.8862,1.2564,350
1/4/2012,7.8775,1.2539,348.84
1/5/2012,7.6915,1.2243,340.94
1/6/2012,7.6046,1.2103,336.73
1/9/2012,7.6746,1.2215,339.32
1/10/2012,7.8,1.2415,344.68
1/11/2012,7.9792,1.2699,347.43
1/12/2012,8.0339,1.2786,348.11
1/13/2012,8.1847,1.3025,354.33
1/16/2012,8.2722,1.3165,357.87
1/17/2012,8.2981,1.2824,358.86
1/18/2012,8.664,1.3394,362.66
1/19/2012,8.9554,1.3817,373.43
1/20/2012,8.9747,1.3817,373
1/30/2012,9.3187,1.4276,384.94
1/31/2012,9.6279,1.4504,387.97
2/1/2012,9.6399,1.4569,390.67
2/2/2012,9.8341,1.5022,401.61
2/3/2012,9.8511,1.5008,401.74
2/6/2012,9.7231,1.4877,399.73
2/7/2012,9.8098,1.4976,401.08
2/8/2012,10.0142,1.5318,409.53
2/9/2012,10.0351,1.5357,411.39
2/10/2012,9.6164,1.5087,405.02
2/13/2012,9.3586,1.476,395.54
2/14/2012,9.5496,1.4992,400.26
2/15/2012,9.4683,1.4863,397.41
2/16/2012,9.471,1.4842,396.51
2/17/2012,9.5389,1.507,403.3
2/20/2012,10.0393,1.5546,413.98
2/21/2012,9.8432,1.5461,410.91
2/22/2012,10.2813,1.5774,418.41
2/23/2012,10.9847,1.598,423.89
2/24/2012,10.898,1.5921,423.43
2/27/2012,11.0546,1.6109,428.41
2/28/2012,10.8944,1.5865,422.22
2/29/2012,10.9535,1.5858,423.64
3/1/2012,11.1287,1.6112,427.95
3/2/2012,11.4343,1.6555,439.6
3/5/2012,11.9233,1.7236,457.21
3/6/2012,11.7243,1.6767,445
3/7/2012,11.7291,1.675,444.02
3/8/2012,11.3665,1.6232,431.66
3/9/2012,11.3794,1.625,432.11
3/12/2012,11.2078,1.6011,428.02
3/13/2012,11.2675,1.6092,429.39
3/14/2012,11.4028,1.6266,433.86
3/15/2012,11.558,1.6487,441.85
3/16/2012,11.4007,1.6265,438.52
3/19/2012,11.4609,1.6337,438.07
3/20/2012,11.5789,1.6499,440.29
3/21/2012,11.7128,1.6682,445.77
3/22/2012,11.7183,1.669,445.67
3/23/2012,11.9011,1.6952,454.1
3/26/2012,12.054,1.717,459.26
3/27/2012,11.7207,1.6697,445.92
3/28/2012,11.7492,1.6746,446.32
3/29/2012,11.5275,1.65,439.63
3/30/2012,11.6114,1.6617,441.03
4/3/2012,11.7694,1.6813,445.77
4/4/2012,11.6578,1.6629,439.77
4/5/2012,11.7709,1.6782,444.93
4/6/2012,11.8205,1.6849,447.44
4/9/2012,11.9001,1.6965,450.73
4/10/2012,11.8626,1.6978,450.85
4/11/2012,12.0805,1.7252,458.74
4/12/2012,12.2852,1.7559,465.26
4/13/2012,12.2323,1.7465,462.52
4/16/2012,12.4342,1.7752,468.26
4/17/2012,12.6188,1.7976,472.84
4/18/2012,12.588,1.7922,472.16
4/19/2012,12.4525,1.7729,467.08
4/20/2012,12.3813,1.6448,465.72
4/23/2012,12.3457,1.6418,465.17
4/24/2012,12.3382,1.6413,465.65
4/25/2012,12.527,1.663,472.87
4/26/2012,12.4317,1.6531,470.21
4/27/2012,12.5754,1.6672,473.77
5/2/2012,12.6141,1.6627,472.46
5/3/2012,12.516,1.6495,468.8
5/4/2012,12.7268,1.6744,476.32
5/7/2012,11.6422,1.7077,486.31
5/8/2012,11.7052,1.715,488.07
5/9/2012,11.7165,1.7153,487.62
5/10/2012,11.739,1.7162,486.07
5/11/2012,11.6557,1.7032,480.1
5/14/2012,11.484,1.6768,469.69
5/15/2012,11.131,1.6243,455.65
5/16/2012,10.9574,1.6052,449.91
5/17/2012,10.91,1.58,442.58
5/18/2012,10.7226,1.552,434.95
5/21/2012,12.2947,1.6843,448.02
5/22/2012,12.1514,1.6809,447.94
5/23/2012,11.8753,1.6385,436.75
5/24/2012,11.6143,1.6008,426.92
5/25/2012,11.9182,1.6425,437.38
5/28/2012,11.861,1.6344,435.48
5/29/2012,11.7424,1.6181,431.44
5/30/2012,11.8487,1.6327,435.34
5/31/2012,11.6808,1.6095,429.2
6/1/2012,11.6757,1.6089,428.8
6/4/2012,11.2818,1.5624,416.65
6/5/2012,11.3974,1.5777,421.02
6/6/2012,11.5521,1.5991,426.39
6/7/2012,11.7568,1.6278,434.41
6/8/2012,11.7181,1.6225,432.9
6/11/2012,11.746,1.6261,432.5
6/12/2012,11.6401,1.6114,428.16
6/13/2012,11.6351,1.6107,427.61
6/14/2012,11.5667,1.6013,425.28
6/15/2012,11.7593,1.6279,433.09
6/18/2012,11.8374,1.6387,435.59
6/19/2012,11.707,1.6207,431.08
6/20/2012,11.7534,1.627,432.89
6/21/2012,11.7161,1.6219,431.14
6/22/2012,11.6121,1.6075,427.17
6/25/2012,11.5093,1.5947,424.12
6/26/2012,11.3733,1.5764,419.19
6/27/2012,11.3415,1.5721,418.04
6/28/2012,11.3452,1.5725,418.16
6/29/2012,11.4528,1.5874,422.37
7/2/2012,11.3764,1.5768,419.3
7/3/2012,11.2178,1.5544,413.09
7/4/2012,11.1601,1.5465,410.73
7/5/2012,11.2414,1.5578,413.83
7/6/2012,11.2865,1.564,415.44
7/9/2012,11.0993,1.5381,408.12
7/10/2012,11.0228,1.5275,405.39
7/11/2012,11.0817,1.5356,407.28
7/12/2012,11.1376,1.542,408.72
7/13/2012,11.3614,1.573,416.98
7/16/2012,11.3085,1.5657,413.98
7/17/2012,11.3926,1.5904,417.55
7/18/2012,11.4362,1.5964,418.83
7/19/2012,11.6576,1.6311,428.38
7/20/2012,11.5341,1.6129,424.47
7/23/2012,11.6949,1.6436,421.99
7/24/2012,11.5494,1.6189,415.63
7/25/2012,11.1871,1.5699,412.91
7/26/2012,11.5269,1.6161,414.8
7/27/2012,11.4793,1.6097,413.16
7/30/2012,11.549,1.617,415
7/31/2012,11.5433,1.6162,414.48
8/1/2012,11.4141,1.609,412.55
8/2/2012,11.5216,1.6228,416.1
8/3/2012,11.5336,1.6298,418.21
8/6/2012,11.6447,1.6476,423.16
8/7/2012,11.6303,1.6448,422.5
8/8/2012,11.3976,1.6094,423.57
8/9/2012,11.5016,1.624,426.98
8/10/2012,11.4386,1.6185,425.56
8/13/2012,11.4545,1.6207,426.17
8/14/2012,11.5343,1.6319,429.47
8/15/2012,11.5162,1.637,430.77
8/16/2012,11.7825,1.6377,430.83
8/17/2012,11.8364,1.6481,433.45
8/20/2012,11.9682,1.6627,437.28
8/21/2012,11.7161,1.6266,416.84
8/22/2012,11.5474,1.6027,410.23
8/23/2012,11.0647,1.5342,392.82
8/24/2012,11.2752,1.5633,399.72
8/27/2012,10.9115,1.5088,386.19
8/28/2012,10.8834,1.5048,385.78
8/29/2012,11.0723,1.532,393.06
8/30/2012,11.1893,1.5482,397.25
8/31/2012,11.1515,1.5426,396.02
9/4/2012,11.3197,1.5663,402.08
9/5/2012,11.2825,1.555,398.92
9/6/2012,11.1314,1.5349,393.41
9/7/2012,11.2417,1.5498,397.51
9/10/2012,10.9834,1.5137,388.88
9/11/2012,10.929,1.5062,386.62
9/12/2012,10.9848,1.5122,388.35
9/13/2012,11.0642,1.5231,391.36
9/14/2012,11.2972,1.5552,398.87
9/17/2012,11.3758,1.566,401.75
9/18/2012,11.1565,1.5359,394.51
9/19/2012,11.1395,1.5337,394.55
9/20/2012,10.9754,1.5112,389.28
9/21/2012,11.1548,1.5358,395.48
9/24/2012,11.0047,1.5152,390.37
9/25/2012,11.0477,1.5202,391.77
9/26/2012,11.0132,1.5335,395.12
9/27/2012,10.9592,1.526,393.34
9/28/2012,10.9319,1.5223,392.57
10/1/2012,10.7555,1.4977,386.55
10/2/2012,10.6867,1.4881,384.32
10/3/2012,10.7183,1.4925,385.37
10/4/2012,10.6885,1.4899,384.51
10/5/2012,10.7845,1.5032,388.16
10/8/2012,10.9346,1.5242,393.45
10/9/2012,10.9365,1.5244,393.67
10/10/2012,10.9629,1.5282,394.66
10/11/2012,10.95,1.5263,394.19
10/12/2012,10.9067,1.5203,392.54
10/15/2012,10.8731,1.5162,391.56
10/16/2012,11.0745,1.5091,399.22
10/17/2012,10.9847,1.4982,397.02
10/18/2012,11.0441,1.505,398.51
10/19/2012,11.0194,1.502,398.23
10/22/2012,10.9772,1.5,397
10/23/2012,11.0464,1.5026,397.71
10/24/2012,10.9985,1.4944,395.45
10/25/2012,10.8836,1.4742,389.92
10/26/2012,10.9274,1.4801,391.7
10/29/2012,10.9158,1.4789,391.36
10/30/2012,10.8754,1.4731,389.86
10/31/2012,10.7825,1.4686,388.42
11/1/2012,10.8064,1.467,387.95
11/2/2012,9.9745,1.4203,375.26
11/5/2012,10.0415,1.4291,377.27
11/6/2012,10.0299,1.4271,376.95
11/7/2012,10.1853,1.4451,380.9
11/8/2012,10.3402,1.4653,385.6
11/9/2012,10.3633,1.4723,386.71
11/12/2012,10.426,1.4793,388.62
11/13/2012,10.3802,1.4638,385.22
11/14/2012,10.4931,1.4761,387.71
11/15/2012,10.3293,1.4741,386.91
11/16/2012,10.3288,1.4683,385.71
11/19/2012,10.2646,1.4579,383.32
11/20/2012,10.3236,1.4647,385.1
11/21/2012,10.3027,1.4618,383.87
11/22/2012,10.294,1.4595,383.22
11/23/2012,10.2524,1.4537,381.71
11/26/2012,10.1392,1.4376,377.9
11/27/2012,10.1104,1.4344,376.89
11/28/2012,10.0826,1.4305,375.79
11/29/2012,10.1481,1.4395,378.2
11/30/2012,10.1329,1.4378,377.82
12/3/2012,10.1985,1.4468,379.27
12/4/2012,10.2622,1.4555,382.1
12/5/2012,10.356,1.4689,385.69
12/6/2012,10.3588,1.4692,385.69
12/7/2012,10.3279,1.4649,383.8
12/10/2012,10.4043,1.4758,386.69
12/11/2012,10.4827,1.4868,389.37
12/12/2012,10.5378,1.4947,391.08
12/13/2012,10.5546,1.4972,391.19
12/14/2012,10.5891,1.5008,392.21
12/17/2012,10.5895,1.5008,393.63
12/18/2012,10.5506,1.4953,393.39
12/19/2012,10.6542,1.51,398.59
12/20/2012,11.3056,1.5178,399.68
12/21/2012,11.264,1.5122,396.78
12/24/2012,11.3255,1.5206,399.71
12/25/2012,11.3954,1.53,401.34
12/26/2012,11.0465,1.5505,406.1
12/27/2012,11.1437,1.564,409.97
12/28/2012,11.2531,1.5795,413.73
1/2/2013,11.3839,1.5979,418.35
1/3/2013,11.4004,1.6002,419.27
1/4/2013,11.577,1.6249,426.06
1/7/2013,11.7874,1.6545,434.19
1/8/2013,12.1244,1.7018,447.16
1/9/2013,12.1881,1.7106,448.77
1/10/2013,12.5061,1.7552,460.12
1/11/2013,12.5545,1.762,462.69
1/14/2013,12.4538,1.7477,458.97
1/15/2013,12.5273,1.7582,461.42
1/16/2013,12.6276,1.7724,465.25
1/17/2013,12.4096,1.7403,456.76
1/18/2013,12.3311,1.7294,454.16
1/21/2013,12.1033,1.6874,447.79
1/22/2013,11.9824,1.6681,442.85
1/23/2013,11.9479,1.6694,443.37
1/24/2013,12.1902,1.7027,452.4
1/25/2013,13.1381,1.7699,468.09
1/28/2013,13.4585,1.8121,479.6
1/29/2013,13.5978,1.8306,484.01
1/30/2013,13.6855,1.8429,487.6
1/31/2013,13.4703,1.8149,479.79
2/1/2013,13.5868,1.83,483.42
2/4/2013,13.4161,1.8243,482.38
2/5/2013,13.2721,1.8056,477.36
2/6/2013,13.6113,1.8479,488.36
2/7/2013,13.734,1.8559,490.62
2/8/2013,13.2528,1.8694,494.03
2/18/2013,13.2381,1.8682,493.95
2/19/2013,13.8621,1.8557,490.78
2/20/2013,14.0853,1.8702,494.83
2/21/2013,13.617,1.8042,476.73
2/22/2013,13.4682,1.8062,477.69
